,Mkt-RF,SMB,HML,RF,Mom,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
Mkt-RF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMB,0.32686335,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HML,0.216144691,0.094113026,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,-0.068722941,-0.059640367,0.012114673,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mom,-0.338343277,-0.164023172,-0.400634816,0.039129956,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food,0.835924223,0.201697905,0.215131648,0.032221736,-0.280289358,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer,0.707673357,0.351039316,0.214981922,-0.011276559,-0.20007656,0.705153595,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoke,0.584268029,0.103153552,0.171808847,0.063036113,-0.219165062,0.670554562,0.448606091,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games,0.830211284,0.412089411,0.25038691,-0.024963142,-0.356992161,0.719048511,0.677277814,0.506303673,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Books,0.830092455,0.40814455,0.250607946,0.009172456,-0.306398926,0.756655806,0.622057959,0.502044734,0.738285969,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hshld,0.816234215,0.261883426,0.107373306,-0.024208938,-0.199683388,0.788073932,0.660952688,0.543474549,0.691324152,0.725539082,1,,,,,,,,,,,,,,,,,,,,,,,,
Clths,0.780630356,0.460133866,0.24671913,-0.020186056,-0.360482495,0.714749977,0.612181326,0.493648244,0.723337776,0.731029831,0.669092197,1,,,,,,,,,,,,,,,,,,,,,,,
Hlth,0.804021938,0.208896031,0.064393417,0.007783335,-0.225778083,0.784460185,0.644274398,0.572477147,0.69206289,0.677021491,0.737652,0.631214975,1,,,,,,,,,,,,,,,,,,,,,,
Chems,0.883889336,0.208012206,0.192392215,-0.033856378,-0.301203132,0.749086565,0.639946897,0.517167276,0.716834028,0.714475356,0.75068426,0.701719696,0.709196014,1,,,,,,,,,,,,,,,,,,,,,
Txtls,0.823438382,0.495355898,0.347475525,-0.03573849,-0.371136626,0.719604979,0.683985894,0.477008279,0.764034538,0.773225768,0.705123165,0.788752134,0.635332207,0.755823858,1,,,,,,,,,,,,,,,,,,,,
Cnstr,0.913608055,0.401464344,0.247212498,-0.031264016,-0.32322121,0.796303933,0.718938353,0.563279507,0.800011219,0.808510685,0.775382412,0.789430767,0.717814393,0.839644123,0.836396072,1,,,,,,,,,,,,,,,,,,,
